resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
105,1.0,18298158.99109307,18776898.53970935,18564193.30138613,19111042.549724717,478739.5486162789,546849.2483385876,2.6163263137527295,2.9457205032321876
106,1.0,19693992.42509748,20200402.54828146,18524468.701426864,19044446.102963157,506410.1231839806,519977.4015362933,2.5713939167490767,2.8069760591635298
107,1.0,18424945.231645674,18889236.697758287,18646137.465267006,19155402.479303166,464291.4661126137,509265.01403615996,2.5199068994526628,2.731209157847252
108,1.0,18215326.277484406,18665706.87905053,18422424.580475695,18994805.793193974,450380.6015661247,572381.2127182782,2.472536559077896,3.1069808982955185
109,1.0,18694517.283665664,19131351.64863774,18528801.451184887,19058723.018379517,436834.3649720773,529921.5671946295,2.3366977512372644,2.8599883731861233
110,1.0,18040950.6757712,18662652.746072464,18285348.326767,19043513.5161194,621702.0703012645,758165.1893523969,3.4460604736102054,4.146298860725322
111,1.0,17590355.05038093,18117863.464469466,18210332.529119723,18911858.539039347,527508.414088536,701526.0099196248,2.9988502936847348,3.852351453757534
112,1.0,17547987.829198055,18027568.060509708,18387108.842053037,19011817.384174682,479580.2313116528,624708.5421216451,2.7329642348718775,3.397535455345096
113,1.0,16768859.58619976,17197462.352175802,17983674.461098243,18684292.847822186,428602.76597604156,700618.386723943,2.5559446292267127,3.895857813927294
114,1.0,19298128.553067196,19702344.920243993,18698287.368285198,19136543.690747038,404216.36717679724,438256.32246183977,2.0945884263609185,2.3438313564758944
115,1.0,17906094.642837185,18422388.35082328,18492737.227663945,19095865.57047712,516293.70798609406,603128.3428131752,2.8833406629659604,3.2614335854561
116,1.0,18740722.140102834,19173943.319582313,18579750.125537958,19056042.33075816,433221.1794794798,476292.20522020385,2.311656809384308,2.5635016725307724
117,1.0,18453073.142722182,18916597.137372166,18627186.709301062,19136451.723337226,463523.99464998394,509265.0140361637,2.5119067759875864,2.7339878103110107
118,1.0,18904356.957134604,19349071.87363777,18620014.139304537,19103533.680012465,444714.9165031649,483519.5407079272,2.352446674126766,2.596773219883209
119,1.0,17780849.25422436,18284861.928642724,18472635.209986255,19091732.478346027,504012.6744183637,619097.2683597729,2.8345815613875742,3.3514290804870686
