base_rate,baseline_tvr,break_length,break_type,channel,date,day,is_gold,num_breaks,position,predicted_retention,predicted_revenue,program_type,retention_ci_high,retention_ci_low,retention_confidence,retention_n,retention_used,segment_id,start_time,total_break_time
55.2,1.5,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9512,9451.51,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|042,12:48,120.0
55.2,1.1,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Documentary,,,medium,229,1.0,2024-11-01|רשת 13|043,12:49,0.0
79.35,1.1,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9465,9914.28,News,0.972,0.9156,medium,51,0.9465,2024-11-01|רשת 13|044,13:00,120.0
75.9,1.0,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,24,1.0,2024-11-01|רשת 13|045,13:04,0.0
69.0,1.0,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,low,19,1.0,2024-11-01|רשת 13|046,13:05,0.0
55.2,1.1,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Documentary,,,medium,229,1.0,2024-11-01|רשת 13|047,13:06,0.0
55.2,1.4,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,8821.41,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|048,13:11,120.0
55.2,0.8,120.0,medium,רשת 13,2024-11-01,Fri,False,2,middle,0.9025,9823.21,Lifestyle,0.9453,0.862,medium,229,0.9025,2024-11-01|רשת 13|049,13:28,240.0
55.2,0.8,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|050,13:42,0.0
79.35,1.1,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,News,,,medium,51,1.0,2024-11-01|רשת 13|051,14:00,0.0
75.9,1.3,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9542,11297.65,Promo,0.9904,0.9289,medium,24,0.9542,2024-11-01|רשת 13|052,14:04,120.0
69.0,1.0,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,low,19,1.0,2024-11-01|רשת 13|053,14:05,0.0
55.2,1.6,120.0,medium,רשת 13,2024-11-01,Fri,False,4,middle,0.805,37225.66,Lifestyle,0.8905,0.724,medium,229,0.805,2024-11-01|רשת 13|054,14:05,480.0
55.2,1.3,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|055,14:55,0.0
55.2,1.6,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,10081.61,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|056,15:47,120.0
55.2,2.4,120.0,medium,רשת 13,2024-11-01,Fri,False,3,middle,0.8537,43041.65,Reality,0.9179,0.793,medium,229,0.8537,2024-11-01|רשת 13|057,16:03,360.0
55.2,2.0,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|058,16:16,0.0
55.2,2.1,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|059,16:37,0.0
55.2,2.5,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9512,15752.51,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|060,16:58,120.0
79.35,2.2,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,News,,,medium,51,1.0,2024-11-01|רשת 13|061,17:00,0.0
75.9,2.5,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9542,21726.24,Promo,0.9904,0.9289,medium,24,0.9542,2024-11-01|רשת 13|062,17:07,120.0
69.0,2.5,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,low,19,1.0,2024-11-01|רשת 13|063,17:08,0.0
55.2,3.1,120.0,medium,רשת 13,2024-11-01,Fri,False,3,middle,0.8537,55595.47,Talk Show,0.9179,0.793,medium,229,0.8537,2024-11-01|רשת 13|064,17:09,360.0
55.2,2.9,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|065,17:34,0.0
55.2,3.8,120.0,medium,רשת 13,2024-11-01,Fri,False,2,middle,0.9025,46660.24,Other,0.9453,0.862,medium,229,0.9025,2024-11-01|רשת 13|066,17:55,240.0
55.2,2.9,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,18272.91,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|067,18:22,120.0
55.2,3.4,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,21423.41,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|068,19:24,120.0
55.2,4.7,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,37018.4,Other,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|069,19:54,120.0
55.2,4.3,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,27094.32,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|070,20:45,120.0
55.2,3.4,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,21423.41,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|071,21:10,120.0
55.2,4.3,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9512,27094.32,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|072,21:29,120.0
55.2,3.6,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|073,21:32,0.0
55.2,4.7,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,37018.4,Reality,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|074,21:32,120.0
55.2,4.1,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,25834.12,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|075,22:13,120.0
55.2,3.7,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,23313.71,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|076,22:30,120.0
55.2,3.3,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,20793.31,Reality,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|077,22:39,120.0
55.2,3.4,120.0,medium,רשת 13,2024-11-01,Fri,False,2,middle,0.9025,41748.64,Reality,0.9453,0.862,medium,229,0.9025,2024-11-01|רשת 13|078,23:04,240.0
55.2,2.9,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|079,23:12,0.0
55.2,1.8,120.0,medium,רשת 13,2024-11-01,Fri,False,4,middle,0.805,41878.87,Reality,0.8905,0.724,medium,229,0.805,2024-11-01|רשת 13|080,23:33,480.0
55.2,1.3,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|081,23:49,0.0
