Unnamed: 0,Campaign,Channel,Last_dt,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
98,2024-10 -  מנו ספנות,קשת 12,02/11/2024,,18,פרסומת,ספוט,4,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
99,2024-10 - משרד הביטחון - אגף שיקום מיצוי זכויות,קשת 12,02/11/2024,,37,פרסומת,ספוט,5,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
100,2024-10 - בנק יהב,קשת 12,02/11/2024,,15,פרסומת,ספוט,6,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
101,אני גיטרה וחברים 30 שנה בלי בני אמדורסקי הופעה (נובמבר 2024),קשת 12,02/11/2024,,25,פרסומת,ספוט,7,8,,,,,,,,אני,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
102,2024-03 - פלייכארד - פליי קארד,קשת 12,02/11/2024,,30,פרסומת,ספוט,99,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
103,12+ קמפיין אפליקציה,קשת 12,02/11/2024,,7,פרומו,פרומו,0,0,,,,,,,,12+,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
104,פ-הכוכב הבא 11,קשת 12,02/11/2024,,60,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
105,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
106,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
107,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
108,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
109,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
110,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
111,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,,37,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
112,2024-10 -  אנגלו סכסון — 60 שנות מצוינות,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
113,2024-10 - ניאופרם - אגודת הפסוריאזיס הישראלית,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
114,2024-08 - לוריאל - רויטליפט — רויטליפט לייזר פילר,קשת 12,02/11/2024,,22,פרסומת,ספוט,1,10,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
115,2024-09 - יד 2,קשת 12,02/11/2024,,20,פרסומת,ספוט,2,10,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
116,2024-10 - כאל — כאל - קמפיין הלוואות נובמבר 24,קשת 12,02/11/2024,,18,פרסומת,ספוט,3,10,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
117,2024-10 - קומי כרטיסים,קשת 12,02/11/2024,,28,פרסומת,ספוט,4,10,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
118,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,,15,פרסומת,ספוט,5,10,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
119,"2024-10 - קופ""ח מכבי - מכבי שירותי בריאות — קמפיין השקה מכבי",קשת 12,02/11/2024,,70,פרסומת,ספוט,6,10,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
120,2024-10 - בנק יהב,קשת 12,02/11/2024,,15,פרסומת,ספוט,7,10,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
