channel,daypart,len_bin,len_min,straddle_qh,n_qh_windows,B_content,inbreak_tvr,billed_qh,dilution,dip_frac,n_content_minutes
כאן 11,afternoon,1-2m,1.8,0,1,0.8269230769230769,1.2666666666666666,1.0666666666666667,1.289922480620155,-0.531782945736434,26
כאן 11,afternoon,2-3m,2.35,0,1,0.8333333333333333,0.75,0.72,0.864,0.09999999999999987,30
כאן 11,early_evening,1-2m,1.9166666666666667,0,1,1.3433333333333335,1.3333333333333333,1.406666666666667,1.0471464019851118,0.007444168734491496,30
כאן 11,early_evening,2-3m,2.2333333333333334,0,1,1.2758620689655176,1.0,1.1866666666666665,0.9300900900900897,0.21621621621621645,29
כאן 11,early_evening,1-2m,1.6666666666666667,1,2,1.5444444444444445,1.5,1.7022222222222225,1.1021582733812951,0.02877697841726623,27
כאן 11,early_evening,2-3m,2.3333333333333335,0,1,1.9481481481481482,2.3000000000000003,1.906666666666667,0.9787072243346009,-0.18060836501901156,27
כאן 11,late_evening,<1m,0.55,0,1,4.314814814814815,4.3,4.586666666666667,1.0630042918454936,0.0034334763948498104,27
כאן 11,late_evening,<1m,0.9333333333333332,1,2,4.328,4.3,4.263333333333334,0.9850585335797906,0.0064695009242145,25
כאן 11,late_evening,2-3m,2.8,1,2,4.062962962962963,3.25,3.953333333333333,0.9730173199635368,0.20009115770282593,27
כאן 11,late_evening,3-4m,3.433333333333333,0,1,4.180000000000001,3.6199999999999997,4.18,0.9999999999999998,0.13397129186602896,30
כאן 11,late_evening,3-4m,3.5833333333333335,0,1,3.2481481481481476,2.375,2.973333333333334,0.9153933865450403,0.26881413911060426,27
כאן 11,late_evening,2-3m,2.2666666666666666,0,1,2.4153846153846152,1.6666666666666667,2.106666666666667,0.8721868365180468,0.3099787685774946,26
כאן 11,late_evening,2-3m,2.2333333333333334,0,1,1.803448275862069,1.4000000000000001,2.0333333333333337,1.1274697259400894,0.2237093690248565,29
כאן 11,late_evening,<1m,0.3,0,1,1.177777777777778,1.2,1.0666666666666667,0.9056603773584904,-0.01886792452830166,27
כאן 11,overnight,2-3m,2.6333333333333333,0,1,0.72,0.8000000000000002,0.6933333333333334,0.962962962962963,-0.11111111111111138,30
כאן 11,overnight,2-3m,2.433333333333333,0,1,0.3966666666666668,0.3,0.39999999999999997,1.0084033613445373,0.24369747899159688,30
כאן 11,overnight,2-3m,2.1166666666666667,0,1,0.18518518518518523,0.10000000000000002,0.14,0.7559999999999999,0.4600000000000001,27
כאן 11,overnight,1-2m,1.8333333333333333,0,1,0.1592592592592592,0.26666666666666666,0.20000000000000007,1.255813953488373,-0.6744186046511633,27
כאן 11,overnight,1-2m,1.9666666666666663,0,1,0.12333333333333335,0.20000000000000004,0.15333333333333335,1.2432432432432432,-0.6216216216216217,30
כאן 11,overnight,1-2m,1.1833333333333331,0,1,0.11071428571428574,0.10000000000000002,0.10000000000000003,0.903225806451613,0.09677419354838712,28
כאן 11,overnight,1-2m,1.4666666666666666,0,1,0.33666666666666684,0.1,0.2933333333333333,0.8712871287128707,0.7029702970297032,30
כאן 11,overnight,2-3m,2.3333333333333335,0,1,0.23666666666666672,0.26666666666666666,0.23333333333333342,0.9859154929577466,-0.12676056338028152,30
כאן 11,overnight,1-2m,1.8833333333333333,0,1,0.10000000000000002,0.10000000000000002,0.10000000000000003,1.0000000000000002,0.0,28
כאן 11,overnight,1-2m,1.8,0,1,0.08148148148148149,0.1,0.10000000000000003,1.2272727272727275,-0.2272727272727273,27
כאן 11,morning,2-3m,2.0166666666666666,0,1,0.31,0.2333333333333333,0.22000000000000006,0.7096774193548389,0.24731182795698936,30
כאן 11,morning,1-2m,1.9666666666666663,0,1,0.3733333333333333,0.2333333333333333,0.22666666666666666,0.6071428571428572,0.375,30
כאן 11,morning,1-2m,1.0666666666666669,0,1,0.45999999999999996,0.45,0.38000000000000006,0.8260869565217394,0.021739130434782483,30
כאן 11,morning,1-2m,1.25,0,1,1.15,1.2,1.1666666666666667,1.0144927536231885,-0.04347826086956519,30
כאן 11,morning,1-2m,1.1166666666666667,0,1,1.1166666666666665,1.2000000000000002,1.1466666666666667,1.0268656716417912,-0.07462686567164223,30
כאן 11,morning,<1m,0.9833333333333332,0,1,1.19,1.25,1.2333333333333332,1.0364145658263304,-0.050420168067226934,30
כאן 11,morning,1-2m,1.0666666666666669,0,1,1.153333333333333,1.2,1.153333333333333,1.0,-0.040462427745664886,30
כאן 11,afternoon,1-2m,1.8833333333333333,0,1,1.3533333333333328,1.2666666666666666,1.3066666666666664,0.9655172413793105,0.06403940886699477,30
כאן 11,afternoon,2-3m,2.45,1,2,1.0999999999999999,0.825,1.091666666666667,0.9924242424242429,0.25,30
כאן 11,afternoon,1-2m,1.8666666666666667,0,1,0.6269230769230769,0.7666666666666666,0.62,0.9889570552147239,-0.2229038854805725,26
כאן 11,afternoon,2-3m,2.433333333333333,0,1,0.6148148148148146,0.6,0.6199999999999998,1.008433734939759,0.024096385542168308,27
כאן 11,afternoon,2-3m,2.533333333333333,0,1,0.6466666666666666,0.7,0.74,1.1443298969072166,-0.08247422680412364,30
כאן 11,afternoon,1-2m,1.7666666666666666,0,1,0.6833333333333333,0.7000000000000001,0.7066666666666666,1.0341463414634144,-0.024390243902439046,30
כאן 11,afternoon,1-2m,1.9166666666666667,0,1,0.5499999999999999,0.4666666666666666,0.4666666666666666,0.8484848484848485,0.1515151515151515,30
כאן 11,afternoon,1-2m,2.0,0,1,0.7133333333333332,0.8000000000000002,0.7666666666666667,1.0747663551401874,-0.1214953271028043,30
כאן 11,afternoon,1-2m,1.8,0,1,0.6275862068965516,0.75,0.72,1.1472527472527474,-0.19505494505494525,29
כאן 11,afternoon,2-3m,2.5166666666666666,0,1,0.9766666666666667,1.0333333333333334,1.2066666666666668,1.2354948805460753,-0.058020477815699856,30
כאן 11,early_evening,2-3m,2.216666666666667,1,2,1.0730769230769233,0.9,1.0622222222222222,0.9898845081640778,0.16129032258064524,26
כאן 11,early_evening,2-3m,2.0833333333333335,1,2,1.3888888888888888,1.175,1.2283333333333335,0.8844000000000002,0.15399999999999991,27
כאן 11,early_evening,2-3m,2.4,0,1,1.8233333333333337,1.7333333333333334,1.8800000000000001,1.0310786106032905,0.04936014625228535,30
כאן 11,early_evening,2-3m,2.3333333333333335,1,2,2.0900000000000003,1.8999999999999997,2.097777777777778,1.0037214247740562,0.09090909090909116,30
כאן 11,late_evening,1-2m,1.1166666666666667,1,2,3.7678571428571423,2.9333333333333336,3.4488888888888893,0.915344918378094,0.22148499210110573,28
