len_bin,offset,mean_rel,n,n_clusters,mean_rel_c,mean_rel_g,mean_rel_raw,trusted,ci_lo,ci_hi
2.5-3.5,2,0.9757182111291568,339,309,1.0335502513388222,0.9807634407273472,0.9719111086571108,True,0.9477260313329707,1.0053162015362647
2.5-3.5,3,0.9852620409979388,288,267,1.0200549174785796,0.9877753549068046,0.9792341971481926,True,0.9576577616451397,1.0130893656712225
2.5-3.5,4,1.0317281789837232,36,36,1.0534533611352546,1.0442144641800986,1.0221725681123202,False,0.9660451061270441,1.1081578475332126
3.5-5,0,0.9947368672855409,370,321,1.0205587337309308,0.9969440072808592,0.9869847327513382,True,0.98315063900531,1.006701707007162
3.5-5,1,0.9550821327073127,370,321,1.0051016471651477,0.9577281425091799,0.9445914246091718,True,0.938618913027263,0.9716132234651265
3.5-5,2,0.9469247499325277,370,321,0.9937939305161215,0.9504227846621379,0.9337331383866034,True,0.9259388623343453,0.9682007879010093
3.5-5,3,0.9440195077476464,370,321,0.9716743475694093,0.9484841677738857,0.929127626634742,True,0.9231642645024292,0.9668382745729471
3.5-5,4,0.9532829400456476,346,301,0.97060023757097,0.9568042601846394,0.935796705303274,True,0.9317675897109775,0.9791477366211314
3.5-5,5,0.9487250940515896,138,126,0.9604119617477715,0.9561611120581054,0.933811647690799,True,0.9156769447922674,0.9815223896579296
5-7,0,0.9893719963485007,522,388,1.0070817497205908,0.991043860444259,0.9826574548421387,True,0.9814248965659992,0.9968144137444394
5-7,1,0.9438898145386428,522,388,0.9660746853484926,0.9467795360520851,0.9334536183548287,True,0.9319258332844028,0.9548067297932125
5-7,2,0.9173527906509168,522,388,0.9445791486665258,0.9219483757459629,0.9036787431544426,True,0.9045459333707949,0.929588040542589
5-7,3,0.9069630082528809,522,388,0.9419310643193288,0.913670232765235,0.8910361202398221,True,0.893484928106541,0.9197693162277266
5-7,4,0.9031126860688792,522,388,0.9489612331497387,0.9111363476067597,0.8856884849151598,True,0.8889860753830652,0.9169337635353512
5-7,5,0.906217111011311,522,388,0.9477779133183476,0.914817513908288,0.8873764611004324,True,0.8907987605751008,0.9210443084065246
5-7,6,0.9188728132945259,379,289,0.9639736460995488,0.9283549839231625,0.8958752517247583,True,0.9009589325746995,0.9352373762494034
5-7,7,0.9211782109116745,108,96,0.9813312433233204,0.9321122660466575,0.8943064258349686,True,0.8828980119224312,0.9559774917420129
7-13,0,0.9582522637519526,435,338,0.9681626085706664,0.9593994091264473,0.9488603117606847,True,0.9486204312688911,0.9677051912540835
7-13,1,0.8946003858509017,435,338,0.9191970867745982,0.8994362407788418,0.8806483843567741,True,0.8801974633482379,0.9090733349320387
7-13,2,0.8594504054531565,435,338,0.8921992707819404,0.8668334661142506,0.8409338214864261,True,0.8440352262565988,0.875062856193022
7-13,3,0.8534301094345372,435,338,0.8946842780706287,0.864139832194929,0.8309198781122042,True,0.8371484281478251,0.8695497429139935
7-13,4,0.8532058699028334,435,338,0.8987222177988772,0.8649723891851336,0.8284166079921361,True,0.8360562435949077,0.8702742425014297
7-13,5,0.8487070830684962,435,338,0.9034086947487909,0.8617151480934585,0.8220618862116753,True,0.830325032241686,0.866616833183378
7-13,6,0.8482050515958319,435,338,0.8976909838804858,0.8622267983252532,0.8206939478302806,True,0.8305968367965844,0.8667429278524704
7-13,7,0.852270263425969,435,338,0.9029101091979789,0.8651245064794244,0.8243673959980435,True,0.833581254540343,0.8722060446239226
7-13,8,0.8406886078427516,339,273,0.8719920721156758,0.852718004818182,0.8131040782166464,True,0.8193070184862143,0.8615367552089089
7-13,9,0.8086534679933904,192,165,0.8170525042165734,0.8200011497297307,0.777912560222681,True,0.7816584688030429,0.8356064859191212
