cap,fill,L,offset,billed_per_break_minute,mean_affected_windows,n_affected_windows,end_offset_in_window
capped,persistent,4,9,0.9931887769206847,0.9931887769206847,1,12
capped,persistent,4,10,0.9931887769206847,0.9931887769206847,1,13
capped,persistent,4,11,0.9931887769206847,0.9931887769206847,1,14
capped,persistent,4,12,0.9956146408077323,0.9965943884603424,2,0
capped,persistent,4,13,0.9965943884603423,0.9965943884603424,2,1
capped,persistent,4,14,0.9949731223001946,0.9965943884603423,2,2
capped,persistent,5,0,0.9823574034370685,0.9823574034370685,1,4
capped,persistent,5,1,0.9823574034370685,0.9823574034370685,1,5
capped,persistent,5,2,0.9823574034370685,0.9823574034370685,1,6
capped,persistent,5,3,0.9823574034370685,0.9823574034370685,1,7
capped,persistent,5,4,0.9823574034370685,0.9823574034370685,1,8
capped,persistent,5,5,0.9831035278296925,0.9831035278296926,1,9
capped,persistent,5,6,0.9834217481080947,0.9834217481080946,1,10
capped,persistent,5,7,0.9834217481080947,0.9834217481080946,1,11
capped,persistent,5,8,0.9838015523534235,0.9838015523534235,1,12
capped,persistent,5,9,0.9855613769872031,0.9855613769872031,1,13
capped,persistent,5,10,0.9878303456948798,0.9878303456948797,1,14
capped,persistent,5,11,0.9905167228799007,0.9911787017185343,2,0
capped,persistent,5,12,0.9916973541879317,0.9911787017185343,2,1
capped,persistent,5,13,0.9899512571241885,0.9911787017185343,2,2
capped,persistent,5,14,0.9860551098429194,0.9911787017185342,2,3
capped,persistent,6,0,0.969959622729137,0.969959622729137,1,5
capped,persistent,6,1,0.9699596227291369,0.9699596227291369,1,6
capped,persistent,6,2,0.9699596227291369,0.9699596227291369,1,7
capped,persistent,6,3,0.9699596227291369,0.9699596227291369,1,8
capped,persistent,6,4,0.9699596227291369,0.9699596227291369,1,9
capped,persistent,6,5,0.9699596227291369,0.9699596227291369,1,10
capped,persistent,6,6,0.9699596227291369,0.9699596227291369,1,11
capped,persistent,6,7,0.9710721228839692,0.9710721228839692,1,12
capped,persistent,6,8,0.972887860738049,0.972887860738049,1,13
capped,persistent,6,9,0.9763517170459951,0.9763517170459951,1,14
capped,persistent,6,10,0.9823039126454073,0.9849798113645685,2,0
capped,persistent,6,11,0.9853619766579866,0.9849798113645685,2,1
capped,persistent,6,12,0.9849798113645685,0.9849798113645685,2,2
capped,persistent,6,13,0.9813942639561741,0.9849798113645685,2,3
capped,persistent,6,14,0.975513416952808,0.9849798113645685,2,4
capped,persistent,7,0,0.9589425712580353,0.9589425712580354,1,6
capped,persistent,7,1,0.9589425712580353,0.9589425712580354,1,7
capped,persistent,7,2,0.9589425712580353,0.9589425712580354,1,8
capped,persistent,7,3,0.9589425712580353,0.9589425712580354,1,9
capped,persistent,7,4,0.9599087194477686,0.9599087194477687,1,10
capped,persistent,7,5,0.9609522635803228,0.9609522635803228,1,11
capped,persistent,7,6,0.9621565592759679,0.9621565592759679,1,12
capped,persistent,7,7,0.9644754695306396,0.9644754695306396,1,13
capped,persistent,7,8,0.9679713662193379,0.9679713662193379,1,14
capped,persistent,7,9,0.9748529699041294,0.9794712856290178,2,0
capped,persistent,7,10,0.9793808110379033,0.9794712856290178,2,1
capped,persistent,7,11,0.9803172466588137,0.9794712856290178,2,2
capped,persistent,7,12,0.9778184715446893,0.9794712856290178,2,3
capped,persistent,7,13,0.9724103882082419,0.9794712856290178,2,4
capped,persistent,7,14,0.9653216897424526,0.9794712856290178,2,5
as_measured,recovered,2,0,1.0091535600659503,1.0091535600659503,1,1
as_measured,recovered,2,1,1.0091535600659503,1.0091535600659503,1,2
as_measured,recovered,2,2,1.0091535600659503,1.0091535600659503,1,3
as_measured,recovered,2,3,1.0091535600659503,1.0091535600659503,1,4
as_measured,recovered,2,4,1.0065956044573798,1.0065956044573798,1,5
as_measured,recovered,2,5,1.0031470601727486,1.0031470601727486,1,6
as_measured,recovered,2,6,1.0005183138381326,1.0005183138381326,1,7
as_measured,recovered,2,7,0.9986417855111412,0.9986417855111412,1,8
as_measured,recovered,2,8,0.9967770178662929,0.9967770178662929,1,9
as_measured,recovered,2,9,0.9956877039342211,0.9956877039342211,1,10
as_measured,recovered,2,10,0.9952201427609952,0.9952201427609952,1,11
as_measured,recovered,2,11,0.9952054528003516,0.9952054528003516,1,12
as_measured,recovered,2,12,0.9959158098200184,0.9959158098200184,1,13
as_measured,recovered,2,13,0.9969253601323892,0.9969253601323892,1,14
as_measured,recovered,2,14,1.0045767800329752,1.0045767800329752,2,0
as_measured,recovered,3,0,1.0172150950382988,1.0172150950382988,1,2
as_measured,recovered,3,1,1.0172150950382988,1.0172150950382988,1,3
as_measured,recovered,3,2,1.0172150950382988,1.0172150950382988,1,4
as_measured,recovered,3,3,1.0108627725922052,1.0108627725922052,1,5
as_measured,recovered,3,4,1.00469243656413,1.00469243656413,1,6
as_measured,recovered,3,5,1.0006014133789238,1.0006014133789238,1,7
as_measured,recovered,3,6,0.9970527658888969,0.997052765888897,1,8
as_measured,recovered,3,7,0.9943624303569242,0.9943624303569242,1,9
as_measured,recovered,3,8,0.9926907006007912,0.9926907006007912,1,10
as_measured,recovered,3,9,0.9919275278330503,0.9919275278330504,1,11
as_measured,recovered,3,10,0.9913962003942466,0.9913962003942466,1,12
as_measured,recovered,3,11,0.9919810877341444,0.9919810877341444,1,13
as_measured,recovered,3,12,0.9940307255375583,0.9940307255375583,1,14
as_measured,recovered,3,13,1.004769953071267,1.0086075475191492,2,0
as_measured,recovered,3,14,1.01150069088955,1.0086075475191494,2,1
as_measured,recovered,4,0,1.0163578789898677,1.0163578789898677,1,3
as_measured,recovered,4,1,1.0163578789898677,1.0163578789898677,1,4
as_measured,recovered,4,2,1.0112642328395838,1.0112642328395838,1,5
as_measured,recovered,4,3,1.0073428545751153,1.0073428545751153,1,6
as_measured,recovered,4,4,1.0040087099388766,1.0040087099388766,1,7
as_measured,recovered,4,5,1.0010226641197015,1.0010226641197015,1,8
as_measured,recovered,4,6,0.9988381995936304,0.9988381995936304,1,9
as_measured,recovered,4,7,0.9971911759670612,0.9971911759670612,1,10
as_measured,recovered,4,8,0.9953354674787884,0.9953354674787884,1,11
as_measured,recovered,4,9,0.9942347330202981,0.9942347330202981,1,12
as_measured,recovered,4,10,0.993362771378908,0.993362771378908,1,13
as_measured,recovered,4,11,0.9931887769206847,0.9931887769206847,1,14
as_measured,recovered,4,12,1.001406916325028,1.0081789394949339,2,0
as_measured,recovered,4,13,1.0081789394949339,1.0081789394949339,2,1
as_measured,recovered,4,14,1.012349948852082,1.0081789394949339,2,2
as_measured,recovered,5,0,0.986968971687231,0.986968971687231,1,4
as_measured,recovered,5,1,0.9847854055294445,0.9847854055294444,1,5
as_measured,recovered,5,2,0.9834033652249705,0.9834033652249704,1,6
as_measured,recovered,5,3,0.9828411859472969,0.9828411859472967,1,7
as_measured,recovered,5,4,0.9824897606437911,0.9824897606437912,1,8
as_measured,recovered,5,5,0.9832358850364156,0.9832358850364155,1,9
as_measured,recovered,5,6,0.9835541053148175,0.9835541053148175,1,10
as_measured,recovered,5,7,0.9834217481080947,0.9834217481080946,1,11
as_measured,recovered,5,8,0.9838015523534235,0.9838015523534235,1,12
as_measured,recovered,5,9,0.9855613769872031,0.9855613769872031,1,13
as_measured,recovered,5,10,0.9878303456948798,0.9878303456948797,1,14
as_measured,recovered,5,11,0.9914390365299333,0.9934844858436155,2,0
