len_bin,offset,mean_rel,n,n_clusters,mean_rel_c,mean_rel_g,mean_rel_raw,trusted,ci_lo,ci_hi
5-7,4,0.9751933324577062,372,289,0.9878731132807158,0.9769007903758968,0.9717775059033746,True,0.9548438738902651,0.9950919188933582
5-7,5,0.9783821857835356,369,286,0.9894130685841799,0.9795891412958411,0.9774015463855337,True,0.9575658115956884,0.9982973469342086
5-7,6,0.9908818487306376,364,285,1.0036162528087287,0.9919860249154263,0.9923707709441882,True,0.9693853965747838,1.0132992410705555
5-7,7,0.9952746994482357,359,282,1.0084642449244234,0.9952691794308266,0.9988602751847929,True,0.973941420470507,1.0187902453135234
5-7,8,0.9951674134683158,353,277,1.0058208720530515,0.9944053117840269,1.0013488109853121,True,0.9711596477168122,1.0208580840993775
5-7,9,1.0017907494052907,347,277,1.0108450336176615,1.0000282838451173,1.0101905616076294,True,0.9758673979073601,1.0296765995962867
5-7,10,1.00814083624157,333,269,1.0165902828464606,1.005613911263706,1.0203730164992602,True,0.9784009440822735,1.039436975581248
7-13,1,0.9381520058110844,377,290,0.9568973227628181,0.9457171687571629,0.9105580727417342,True,0.9196555731250887,0.9566541885698429
7-13,2,0.9585361479141622,371,286,0.9714781877953669,0.9652791646938234,0.9347071723984053,True,0.9399530187793951,0.9762060151887536
7-13,3,0.9751471477950414,371,286,0.9866819386548155,0.9816309518605224,0.9536373160657876,True,0.956068747210608,0.9945531008967664
7-13,4,0.9763690526194695,367,286,0.9867982614108151,0.9816801548194207,0.9580795455973257,True,0.9576787183724125,0.9948761679752907
7-13,5,0.9819750597940249,364,284,0.9869842680603824,0.9861081004143247,0.96550901675273,True,0.962844598249458,1.0004541551441741
7-13,6,0.9814079482356147,357,281,0.9840754121129475,0.9841966087900809,0.9668517253667284,True,0.9622172871784366,1.0019807809848984
7-13,7,0.9896203111960141,348,274,0.9920218688933502,0.9920708739704959,0.9775303394635595,True,0.969143369515213,1.010541253200025
7-13,8,0.9920938242287771,339,267,0.9958610492004166,0.9945620469037151,0.9830396241070388,True,0.9729524293117319,1.0106964124108004
7-13,9,0.9899026898431369,334,264,0.99348770629776,0.9918678831917324,0.9834485226641155,True,0.9685407285487037,1.0099970060772927
7-13,10,0.9917613324811935,318,253,0.995079052852603,0.9941081363555072,0.9879477198315485,True,0.9708436465346175,1.0123443483110053
lt1.5,1,0.987578309339818,659,526,1.042613417854659,0.9930252924407372,0.9887343566390229,True,0.971266641118251,1.0071710462485688
lt1.5,2,0.9921809892871833,592,470,1.0154415560005612,0.9990212881885437,0.9957407285194614,True,0.9701532299354964,1.019365750270514
lt1.5,3,1.0026160439231075,587,467,1.0081348768696996,1.008498960267257,1.0072616058440957,True,0.9790499962254674,1.0294631434945993
lt1.5,4,1.0075577861462772,577,458,1.0053263335564613,1.0125056204369427,1.0137382467645042,True,0.9815645290597074,1.0381003807468157
lt1.5,5,1.016337667695082,568,450,1.010768077584736,1.0199861316025767,1.0229474060230301,True,0.9872123405570233,1.0475222950160599
lt1.5,6,1.0218786451890953,561,444,1.0131254771599312,1.0242592358919262,1.0304016641323728,True,0.9906922526502252,1.0540144306007073
lt1.5,7,1.0269964883012055,547,436,1.014666155047237,1.0300822778601952,1.0364232582365882,True,0.994441360978708,1.0613823866559995
lt1.5,8,1.0389590293559174,542,431,1.024278772159632,1.0408906300992833,1.0486810094818098,True,1.0025677515349718,1.0783976133699813
lt1.5,9,1.0612399079014252,530,421,1.0461268493143485,1.0638209890262225,1.0698077460538926,True,1.0224596902584668,1.1096923773474319
lt1.5,10,1.052031915268113,515,413,1.0416195120228822,1.0549909198798189,1.0612999628078188,True,1.018706591017219,1.0898686987352264
