channel,channel_name,program_type,break_position,break_length,daypart,date,hour,len_min,break_seconds,num_spots,shed,log_effect,observed_ratio,expected_ratio,ordinal,first_break,prog_key,cluster,start_min
כאן 11,Other_middle_standard,Other,middle,standard,afternoon,2024-11-02,14,1.8833333333333333,113.0,4,0.03690681314114463,-0.03690681314114463,0.9354838709677419,0.9706546275395033,1.0,1,"('כאן 11', '2024-11-02', 59)","('כאן 11', '2024-11-02', 59)",2024-11-02 14:46:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-02,15,2.316666666666667,139.0,3,-0.010669598187586171,0.010669598187586171,1.086206896551724,1.0746791131855309,2.0,0,"('כאן 11', '2024-11-02', 59)","('כאן 11', '2024-11-02', 59)",2024-11-02 15:03:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-02,15,1.9,114.0,4,-0.04765142828576678,0.04765142828576678,1.016393442622951,0.9690966719492867,1.0,1,"('כאן 11', '2024-11-02', 64)","('כאן 11', '2024-11-02', 64)",2024-11-02 15:48:00
כאן 11,News_first_short,News,first,short,afternoon,2024-11-02,16,1.3833333333333333,83.0,2,-0.10410531125715203,0.10410531125715203,1.0999999999999999,0.9912434325744308,1.0,1,"('כאן 11', '2024-11-02', 66)","('כאן 11', '2024-11-02', 66)",2024-11-02 16:03:00
כאן 11,News_middle_standard,News,middle,standard,afternoon,2024-11-02,16,2.45,147.0,5,-0.13859670175672242,0.13859670175672242,1.2089552238805972,1.052491103202847,2.0,0,"('כאן 11', '2024-11-02', 66)","('כאן 11', '2024-11-02', 66)",2024-11-02 16:52:00
כאן 11,News_last_standard,News,last,standard,early_evening,2024-11-02,17,2.066666666666667,124.0,5,-0.33314391084089323,0.33314391084089323,1.4745762711864405,1.0567802271209086,3.0,0,"('כאן 11', '2024-11-02', 66)","('כאן 11', '2024-11-02', 66)",2024-11-02 17:28:00
כאן 11,News_first_standard,News,first,standard,early_evening,2024-11-02,18,2.433333333333333,146.0,5,0.17462070672084543,-0.17462070672084543,0.8656716417910448,1.0308370044052864,1.0,1,"('כאן 11', '2024-11-02', 70)","('כאן 11', '2024-11-02', 70)",2024-11-02 18:18:00
כאן 11,PrimeShow2_middle_standard,PrimeShow2,middle,standard,late_evening,2024-11-02,21,2.9833333333333334,179.0,8,0.07829565655528176,-0.07829565655528176,0.8892857142857141,0.961711229946524,1.0,1,"('כאן 11', '2024-11-02', 75)","('כאן 11', '2024-11-02', 75)",2024-11-02 21:58:00
כאן 11,PrimeShow2_last_standard,PrimeShow2,last,standard,late_evening,2024-11-02,22,2.8833333333333333,173.0,6,0.023176960550294327,-0.023176960550294327,0.929889298892989,0.9516930022573362,2.0,0,"('כאן 11', '2024-11-02', 75)","('כאן 11', '2024-11-02', 75)",2024-11-02 22:16:00
כאן 11,Other_middle_long,Other,middle,long,late_evening,2024-11-02,22,3.0166666666666666,181.0,6,0.22473973619511795,-0.22473973619511795,0.7567567567567565,0.9474570562478949,1.0,1,"('כאן 11', '2024-11-02', 78)","('כאן 11', '2024-11-02', 78)",2024-11-02 22:50:00
כאן 11,Other_middle_standard,Other,middle,standard,late_evening,2024-11-02,23,2.3333333333333335,140.0,6,-0.03275278647180804,0.03275278647180804,0.9230769230769229,0.8933333333333331,2.0,0,"('כאן 11', '2024-11-02', 78)","('כאן 11', '2024-11-02', 78)",2024-11-02 23:12:00
כאן 11,Other_first_short,Other,first,short,late_evening,2024-11-02,23,0.6,36.0,2,0.316032139891537,-0.316032139891537,0.638888888888889,0.8763474952441344,1.0,1,"('כאן 11', '2024-11-02', 81)","('כאן 11', '2024-11-02', 81)",2024-11-02 23:39:00
כאן 11,Other_first_standard,Other,first,standard,overnight,2024-11-03,0,2.466666666666667,148.0,4,-0.46127070443594387,0.46127070443594387,1.5312500000000002,0.9654255319148937,1.0,1,"('כאן 11', '2024-11-03', 0)","('כאן 11', '2024-11-03', 0)",2024-11-03 00:10:00
כאן 11,PrimeShow2_middle_standard,PrimeShow2,middle,standard,overnight,2024-11-03,1,1.7333333333333334,104.0,3,-0.0358592051781261,0.0358592051781261,0.9375,0.9044776119402985,1.0,1,"('כאן 11', '2024-11-03', 3)","('כאן 11', '2024-11-03', 3)",2024-11-03 01:15:00
כאן 11,PrimeShow2_last_short,PrimeShow2,last,short,overnight,2024-11-03,1,1.1666666666666667,70.0,2,-0.05705647184485546,0.05705647184485546,1.0,0.9445407279029463,2.0,0,"('כאן 11', '2024-11-03', 3)","('כאן 11', '2024-11-03', 3)",2024-11-03 01:29:00
כאן 11,Other_first_short,Other,first,short,overnight,2024-11-03,2,1.4666666666666666,88.0,3,0.6430703037632959,-0.6430703037632959,0.8461538461538461,1.6096491228070178,1.0,1,"('כאן 11', '2024-11-03', 7)","('כאן 11', '2024-11-03', 7)",2024-11-03 02:00:00
כאן 11,Other_middle_standard,Other,middle,standard,overnight,2024-11-03,2,2.75,165.0,3,-0.05989814158106908,0.05989814158106908,1.0,0.941860465116279,1.0,1,"('כאן 11', '2024-11-03', 9)","('כאן 11', '2024-11-03', 9)",2024-11-03 02:33:00
כאן 11,Other_middle_standard,Other,middle,standard,overnight,2024-11-03,3,1.65,99.0,3,-0.21180036223532844,0.21180036223532844,1.1111111111111112,0.8990291262135922,1.0,1,"('כאן 11', '2024-11-03', 11)","('כאן 11', '2024-11-03', 11)",2024-11-03 03:16:00
כאן 11,Other_last_standard,Other,last,standard,overnight,2024-11-03,3,2.25,135.0,3,-0.3601598555652366,0.3601598555652366,1.2666666666666666,0.8835820895522386,2.0,0,"('כאן 11', '2024-11-03', 11)","('כאן 11', '2024-11-03', 11)",2024-11-03 03:32:00
כאן 11,Other_middle_standard,Other,middle,standard,overnight,2024-11-03,4,2.933333333333333,176.0,4,0.298964043896885,-0.298964043896885,0.8181818181818181,1.1032863849765258,1.0,1,"('כאן 11', '2024-11-03', 14)","('כאן 11', '2024-11-03', 14)",2024-11-03 04:05:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-03,4,1.3,78.0,2,-0.20080916126131987,0.20080916126131987,1.1538461538461537,0.9439252336448599,2.0,0,"('כאן 11', '2024-11-03', 14)","('כאן 11', '2024-11-03', 14)",2024-11-03 04:27:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-03,5,1.1833333333333333,71.0,2,0.29794476439690787,-0.29794476439690787,0.6666666666666669,0.8980582524271845,1.0,1,"('כאן 11', '2024-11-03', 19)","('כאן 11', '2024-11-03', 19)",2024-11-03 05:22:00
כאן 11,Other_last_short,Other,last,short,overnight,2024-11-03,5,1.0166666666666666,61.0,2,0.1285188508009784,-0.1285188508009784,1.0,1.1371428571428572,2.0,0,"('כאן 11', '2024-11-03', 19)","('כאן 11', '2024-11-03', 19)",2024-11-03 05:44:00
כאן 11,Other_first_standard,Other,first,standard,morning,2024-11-03,6,2.066666666666667,124.0,3,-0.1550980981832981,0.1550980981832981,1.4,1.1988636363636365,1.0,1,"('כאן 11', '2024-11-03', 22)","('כאן 11', '2024-11-03', 22)",2024-11-03 06:06:00
כאן 11,Other_last_standard,Other,last,standard,morning,2024-11-03,6,2.1166666666666667,127.0,3,0.6294313661738372,-0.6294313661738372,0.6000000000000002,1.1259259259259258,2.0,0,"('כאן 11', '2024-11-03', 22)","('כאן 11', '2024-11-03', 22)",2024-11-03 06:47:00
כאן 11,Other_last_short,Other,last,short,morning,2024-11-03,7,0.9333333333333333,56.0,2,-0.431882421425871,0.431882421425871,1.5555555555555554,1.01,3.0,0,"('כאן 11', '2024-11-03', 22)","('כאן 11', '2024-11-03', 22)",2024-11-03 07:06:00
כאן 11,News_middle_short,News,middle,short,morning,2024-11-03,8,0.43333333333333335,26.0,2,-0.0981920261792137,0.0981920261792137,1.1999999999999997,1.0877697841726617,1.0,1,"('כאן 11', '2024-11-03', 27)","('כאן 11', '2024-11-03', 27)",2024-11-03 08:05:00
כאן 11,News_last_short,News,last,short,morning,2024-11-03,9,0.9333333333333333,56.0,2,0.1622173158625519,-0.1622173158625519,0.8000000000000002,0.9408926417370325,1.0,1,"('כאן 11', '2024-11-03', 30)","('כאן 11', '2024-11-03', 30)",2024-11-03 09:05:00
כאן 11,News_last_short,News,last,short,morning,2024-11-03,10,1.4,84.0,4,0.3682559612421993,-0.3682559612421993,0.6956521739130436,1.0053648068669527,1.0,1,"('כאן 11', '2024-11-03', 33)","('כאן 11', '2024-11-03', 33)",2024-11-03 10:04:00
כאן 11,PrimeShow1_first_standard,PrimeShow1,first,standard,afternoon,2024-11-03,12,1.65,99.0,3,-0.18072689501687006,0.18072689501687006,1.1904761904761907,0.9936467598475223,1.0,1,"('כאן 11', '2024-11-03', 39)","('כאן 11', '2024-11-03', 39)",2024-11-03 12:19:00
כאן 11,PrimeShow1_last_standard,PrimeShow1,last,standard,afternoon,2024-11-03,12,2.7,162.0,4,-0.12040083819846198,0.12040083819846198,1.1249999999999998,0.9973856209150328,2.0,0,"('כאן 11', '2024-11-03', 39)","('כאן 11', '2024-11-03', 39)",2024-11-03 12:42:00
כאן 11,Other_middle_standard,Other,middle,standard,afternoon,2024-11-03,13,2.2,132.0,4,-0.0708260525686124,0.0708260525686124,1.0,0.9316239316239316,1.0,1,"('כאן 11', '2024-11-03', 42)","('כאן 11', '2024-11-03', 42)",2024-11-03 13:23:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-03,13,2.466666666666667,148.0,4,0.14593415934156545,-0.14593415934156545,0.9375,1.0848000000000002,2.0,0,"('כאן 11', '2024-11-03', 42)","('כאן 11', '2024-11-03', 42)",2024-11-03 13:39:00
כאן 11,News_last_standard,News,last,standard,afternoon,2024-11-03,14,2.566666666666667,154.0,4,-0.21924491089855203,0.21924491089855203,1.333333333333333,1.0708333333333335,1.0,1,"('כאן 11', '2024-11-03', 45)","('כאן 11', '2024-11-03', 45)",2024-11-03 14:11:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-03,14,2.0833333333333335,125.0,4,-0.009939341902558,0.009939341902558,1.0,0.9901098901098899,1.0,1,"('כאן 11', '2024-11-03', 49)","('כאן 11', '2024-11-03', 49)",2024-11-03 14:48:00
