prog_key,n_breaks,total_seconds,channel,program_type,hour,day,daypart,total_minutes_rounded,n_meas,total_shed,mean_len,n_keyed,fully_measured
"('כאן 11', '2024-11-06', 0)",1,46.0,כאן 11,Other,0,2024-11-06,overnight,1,1.0,0.11887840771287653,0.7666666666666667,1,True
"('כאן 11', '2024-11-06', 1)",1,119.0,כאן 11,News,0,2024-11-06,overnight,2,1.0,0.013560083614472945,1.9833333333333334,1,True
"('כאן 11', '2024-11-06', 3)",2,217.0,כאן 11,PrimeShow2,1,2024-11-06,overnight,4,2.0,0.5702798281363151,1.8083333333333331,2,True
"('כאן 11', '2024-11-06', 7)",2,237.0,כאן 11,Other,2,2024-11-06,overnight,4,2.0,0.014808229872429874,1.975,2,True
"('כאן 11', '2024-11-06', 10)",3,339.0,כאן 11,Other,7,2024-11-06,morning,6,3.0,0.5728028928949654,1.8833333333333335,3,True
"('כאן 11', '2024-11-06', 14)",1,59.0,כאן 11,News,10,2024-11-06,morning,1,1.0,0.04826487842733361,0.9833333333333333,1,True
"('כאן 11', '2024-11-06', 17)",1,60.0,כאן 11,News,11,2024-11-06,morning,1,1.0,0.044640780622620474,1.0,1,True
"('כאן 11', '2024-11-06', 21)",2,284.0,כאן 11,PrimeShow2,12,2024-11-06,afternoon,5,2.0,0.6940697727563111,2.3666666666666667,2,True
"('כאן 11', '2024-11-06', 26)",2,288.0,כאן 11,Other,13,2024-11-06,afternoon,5,2.0,0.613626837011042,2.4,2,True
"('כאן 11', '2024-11-06', 31)",1,144.0,כאן 11,Other,14,2024-11-06,afternoon,2,1.0,-0.3433926794657869,2.4,1,True
"('כאן 11', '2024-11-06', 33)",2,261.0,כאן 11,News,15,2024-11-06,afternoon,4,2.0,0.2608838792970566,2.175,2,True
"('כאן 11', '2024-11-06', 36)",2,214.0,כאן 11,Other,16,2024-11-06,afternoon,4,2.0,-0.32578375177088026,1.7833333333333332,2,True
"('כאן 11', '2024-11-06', 39)",2,245.0,כאן 11,News,17,2024-11-06,early_evening,4,2.0,0.22203853532639223,2.0416666666666665,2,True
"('כאן 11', '2024-11-06', 42)",2,269.0,כאן 11,News,18,2024-11-06,early_evening,4,2.0,0.39105646845137365,2.2416666666666667,2,True
"('כאן 11', '2024-11-06', 47)",3,226.0,כאן 11,News,21,2024-11-06,late_evening,4,3.0,0.5282140085870001,1.2555555555555555,3,True
"('כאן 11', '2024-11-06', 51)",2,443.0,כאן 11,Other,22,2024-11-06,late_evening,7,2.0,0.5832465657056469,3.6916666666666664,2,True
"('כאן 11', '2024-11-06', 55)",2,261.0,כאן 11,News,23,2024-11-06,late_evening,4,2.0,0.7806153025714153,2.175,2,True
"('כאן 11', '2024-11-07', 0)",1,120.0,כאן 11,News,0,2024-11-07,overnight,2,1.0,0.6107352045586029,2.0,1,True
"('כאן 11', '2024-11-07', 2)",1,52.0,כאן 11,PrimeShow2,0,2024-11-07,overnight,1,1.0,0.8749209422155777,0.8666666666666667,1,True
"('כאן 11', '2024-11-07', 11)",2,255.0,כאן 11,Other,3,2024-11-07,overnight,4,2.0,-1.1884844779687154,2.125,2,True
"('כאן 11', '2024-11-07', 22)",2,240.0,כאן 11,Other,6,2024-11-07,morning,4,2.0,-0.842124282549487,2.0,2,True
"('כאן 11', '2024-11-07', 25)",1,40.0,כאן 11,News,7,2024-11-07,morning,1,1.0,0.6357151314740699,0.6666666666666666,1,True
"('כאן 11', '2024-11-07', 28)",1,65.0,כאן 11,News,8,2024-11-07,morning,1,1.0,0.04076325564391278,1.0833333333333333,1,True
"('כאן 11', '2024-11-07', 31)",1,27.0,כאן 11,News,9,2024-11-07,morning,0,1.0,0.14799435948263542,0.45,1,True
"('כאן 11', '2024-11-07', 34)",1,40.0,כאן 11,News,10,2024-11-07,morning,1,1.0,0.04617246207308588,0.6666666666666666,1,True
"('כאן 11', '2024-11-07', 37)",1,36.0,כאן 11,News,11,2024-11-07,morning,1,1.0,0.1538465898142719,0.6,1,True
"('כאן 11', '2024-11-07', 40)",2,299.0,כאן 11,Other,12,2024-11-07,afternoon,5,2.0,0.2012752653624174,2.4916666666666667,2,True
"('כאן 11', '2024-11-07', 45)",2,256.0,כאן 11,Other,13,2024-11-07,afternoon,4,2.0,0.41486172048144654,2.1333333333333333,2,True
"('כאן 11', '2024-11-07', 56)",2,245.0,כאן 11,News,15,2024-11-07,afternoon,4,2.0,0.11864767852753026,2.041666666666667,2,True
"('כאן 11', '2024-11-07', 59)",2,201.0,כאן 11,Other,16,2024-11-07,afternoon,3,2.0,-0.8058490294487357,1.675,2,True
"('כאן 11', '2024-11-07', 63)",4,507.0,כאן 11,News,17,2024-11-07,early_evening,8,4.0,0.5396530026845415,2.1125,4,True
"('כאן 11', '2024-11-07', 70)",2,91.0,כאן 11,News,21,2024-11-07,late_evening,2,2.0,-0.17498348104263037,0.7583333333333333,2,True
"('כאן 11', '2024-11-07', 73)",1,207.0,כאן 11,Other,21,2024-11-07,late_evening,3,1.0,0.03527820727998443,3.45,1,True
"('כאן 11', '2024-11-07', 75)",1,218.0,כאן 11,Other,22,2024-11-07,late_evening,4,1.0,-0.07699675605961286,3.6333333333333333,1,True
"('כאן 11', '2024-11-07', 77)",1,136.0,כאן 11,Other,22,2024-11-07,late_evening,2,1.0,0.4441331842638281,2.2666666666666666,1,True
"('כאן 11', '2024-11-07', 79)",1,117.0,כאן 11,News,23,2024-11-07,late_evening,2,1.0,0.1553752189702707,1.95,1,True
"('כאן 11', '2024-11-07', 81)",1,24.0,כאן 11,PrimeShow2,23,2024-11-07,late_evening,0,1.0,0.11399060821715493,0.4,1,True
"('כאן 11', '2024-11-07', 82)",1,124.0,כאן 11,Other,23,2024-11-07,late_evening,2,1.0,0.08948628544387899,2.066666666666667,1,True
"('כאן 11', '2024-11-08', 0)",1,155.0,כאן 11,Other,0,2024-11-08,overnight,3,1.0,-0.24351707703985337,2.5833333333333335,1,True
"('כאן 11', '2024-11-08', 1)",1,131.0,כאן 11,Other,0,2024-11-08,overnight,2,1.0,0.3470624963759796,2.183333333333333,1,True
"('כאן 11', '2024-11-08', 3)",2,330.0,כאן 11,Other,1,2024-11-08,overnight,6,2.0,-0.43863423900783616,2.75,2,True
"('כאן 11', '2024-11-08', 6)",1,104.0,כאן 11,Other,1,2024-11-08,overnight,2,1.0,0.4328539407712977,1.7333333333333334,1,True
"('כאן 11', '2024-11-08', 8)",1,88.0,כאן 11,Other,2,2024-11-08,overnight,1,1.0,0.13705145452226067,1.4666666666666666,1,True
"('כאן 11', '2024-11-08', 10)",1,98.0,כאן 11,Other,2,2024-11-08,overnight,2,1.0,-0.19145220365982948,1.6333333333333333,1,True
"('כאן 11', '2024-11-08', 12)",1,113.0,כאן 11,Other,3,2024-11-08,overnight,2,1.0,0.19065493835309882,1.8833333333333333,1,True
"('כאן 11', '2024-11-08', 24)",2,245.0,כאן 11,Other,12,2024-11-08,afternoon,4,2.0,1.620178111191436,2.041666666666667,2,True
"('כאן 11', '2024-11-08', 29)",6,717.0,כאן 11,Other,14,2024-11-08,afternoon,12,6.0,0.7111633024173453,1.9916666666666665,6,True
"('כאן 11', '2024-11-08', 36)",2,310.0,כאן 11,Other,17,2024-11-08,early_evening,5,2.0,0.21635870167399363,2.583333333333333,2,True
"('כאן 11', '2024-11-08', 39)",3,385.0,כאן 11,Other,18,2024-11-08,early_evening,6,3.0,0.5874864824497464,2.138888888888889,3,True
"('כאן 11', '2024-11-08', 45)",2,327.0,כאן 11,PrimeShow2,22,2024-11-08,late_evening,5,2.0,-0.317979642355776,2.7249999999999996,2,True
"('כאן 11', '2024-11-08', 48)",1,142.0,כאן 11,Other,23,2024-11-08,late_evening,2,1.0,0.2640933573845306,2.3666666666666667,1,True
"('כאן 11', '2024-11-08', 51)",1,12.0,כאן 11,PrimeShow1,23,2024-11-08,late_evening,0,1.0,0.07507205979212014,0.2,1,True
"('כאן 11', '2024-11-09', 0)",1,153.0,כאן 11,Other,0,2024-11-09,overnight,3,1.0,-0.15117073492867333,2.55,1,True
"('כאן 11', '2024-11-09', 1)",1,101.0,כאן 11,Other,0,2024-11-09,overnight,2,1.0,0.24688865112891611,1.6833333333333333,1,True
