channel,channel_name,start_min,end_min,break_seconds,len_min,num_spots,program_type,break_position,break_length,ordinal,prog_key,gap_prev_min,gap_next_min,measured,title,shed
כאן 11,Other_last_standard,2024-11-24 15:48:00,2024-11-24 15:50:00,112.0,1.8666666666666667,4,Other,last,standard,2.0,"('כאן 11', '2024-11-24', 31)",28.0,25.0,1,מיוחד-מלחמה בדרום - חרבות ברזל - צהריים ע.כאן,0.004976736756888478
כאן 11,News_first_standard,2024-11-24 16:15:00,2024-11-24 16:18:00,164.0,2.7333333333333334,5,News,first,standard,1.0,"('כאן 11', '2024-11-24', 34)",25.0,6.0,1,העולם היום,-0.12442991312168555
כאן 11,News_middle_standard,2024-11-24 16:24:00,2024-11-24 16:27:00,157.0,2.6166666666666667,5,News,middle,standard,2.0,"('כאן 11', '2024-11-24', 34)",6.0,49.0,1,העולם היום,0.46286438423626514
כאן 11,Other_first_standard,2024-11-24 17:16:00,2024-11-24 17:19:00,149.0,2.4833333333333334,7,Other,first,standard,1.0,"('כאן 11', '2024-11-24', 37)",49.0,28.0,1,מיוחד-מלחמה בדרום - חרבות ברזל - ערב מוקדמת ע.כאן,-0.44321008430272835
כאן 11,Other_last_standard,2024-11-24 17:47:00,2024-11-24 17:49:00,159.0,2.65,8,Other,last,standard,2.0,"('כאן 11', '2024-11-24', 37)",28.0,31.0,1,מיוחד-מלחמה בדרום - חרבות ברזל - ערב מוקדמת ע.כאן,-0.03267440577542018
כאן 11,News_middle_standard,2024-11-24 18:20:00,2024-11-24 18:22:00,119.0,1.9833333333333334,5,News,middle,standard,1.0,"('כאן 11', '2024-11-24', 41)",31.0,25.0,1,שבע עם אילה חסון - מוקדמת,0.020456210044031083
כאן 11,News_last_standard,2024-11-24 18:47:00,2024-11-24 18:48:00,107.0,1.7833333333333334,3,News,last,standard,2.0,"('כאן 11', '2024-11-24', 41)",25.0,160.0,1,שבע עם אילה חסון - מוקדמת,-0.04361185437524244
כאן 11,News_last_short,2024-11-24 21:28:00,2024-11-24 21:28:00,52.0,0.8666666666666667,3,News,last,short,1.0,"('כאן 11', '2024-11-24', 45)",160.0,1.0,0,,
כאן 11,News_last_short,2024-11-24 21:29:00,2024-11-24 21:30:00,54.0,0.9,3,News,last,short,2.0,"('כאן 11', '2024-11-24', 45)",1.0,46.0,0,,
כאן 11,PrimeShow2_last_long,2024-11-24 22:16:00,2024-11-24 22:20:00,230.0,3.8333333333333335,11,PrimeShow2,last,long,1.0,"('כאן 11', '2024-11-24', 47)",46.0,10.0,1,"המו""לים",-0.0030345813567309796
כאן 11,Other_first_standard,2024-11-24 22:30:00,2024-11-24 22:33:00,161.0,2.683333333333333,6,Other,first,standard,1.0,"('כאן 11', '2024-11-24', 49)",10.0,13.0,1,,0.6433175418279434
כאן 11,Other_first_standard,2024-11-24 22:46:00,2024-11-24 22:48:00,133.0,2.216666666666667,5,Other,first,standard,1.0,"('כאן 11', '2024-11-24', 51)",13.0,31.0,1,,-0.25731279911081223
כאן 11,News_last_standard,2024-11-24 23:19:00,2024-11-24 23:21:00,131.0,2.183333333333333,3,News,last,standard,1.0,"('כאן 11', '2024-11-24', 52)",31.0,2.0,1,חדשות הלילה עם עקיבא נוביק,0.1012367984739643
כאן 11,PrimeShow2_first_short,2024-11-24 23:23:00,2024-11-24 23:23:00,12.0,0.2,2,PrimeShow2,first,short,1.0,"('כאן 11', '2024-11-24', 54)",2.0,29.0,1,חדשות הלילה עם עקיבא נוביק,0.18388557225243835
כאן 11,Other_middle_standard,2024-11-24 23:52:00,2024-11-24 23:54:00,154.0,2.566666666666667,5,Other,middle,standard,1.0,"('כאן 11', '2024-11-24', 55)",29.0,12.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.1533274312420289
כאן 11,Other_first_short,2024-11-25 00:06:00,2024-11-25 00:07:00,69.0,1.15,2,Other,first,short,1.0,"('כאן 11', '2024-11-25', 0)",12.0,24.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.13474109567262268
כאן 11,PrimeShow2_middle_standard,2024-11-25 00:31:00,2024-11-25 00:33:00,147.0,2.45,5,PrimeShow2,middle,standard,1.0,"('כאן 11', '2024-11-25', 3)",24.0,26.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.22244630540718346
כאן 11,Other_middle_standard,2024-11-25 00:59:00,2024-11-25 01:00:00,90.0,1.5,2,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 5)",26.0,28.0,1,צליל מכוון ש.ח,-0.3146513702030433
